session_id,revenue
283149,0
253020,0
348435,0
299763,0
195120,0
472120,0
170814,0
465814,0
371639,0
417687,0
164588,0
253171,0
232771,0
373889,0
285994,1
151601,0
361427,0
314662,0
180901,0
443403,1
252272,1
441764,0
321688,0
322102,0
442337,0
307422,0
323912,0
373432,0
484621,0
145706,0
337797,0
200052,0
233738,0
320985,0
267057,0
214331,0
330813,0
172813,0
449812,0
441921,0
299313,0
141776,0
228341,0
443058,0
322052,1
455537,0
253459,0
243019,0
175052,0
252759,1
126854,0
309390,0
448735,1
494666,1
255082,1
269543,0
140702,0
443799,0
150610,0
214028,0
322923,0
227217,0
317120,1
363905,0
161160,1
285379,0
394744,0
263502,0
468072,0
165919,0
133061,0
352726,1
193194,0
395696,0
431106,0
432852,0
416669,0
227722,0
155817,0
384991,0
445752,0
217700,0
372034,1
454328,0
295054,0
262692,0
444924,0
320902,0
157433,0
289361,1
211742,0
235064,0
472527,0
325626,0
466396,0
165050,0
284262,1
472654,1
450653,0
302535,0
263323,0
169506,0
323241,0
417920,0
349376,0
225005,0
373944,0
419625,0
157617,0
316083,0
145638,0
284718,0
301599,1
433924,0
254605,0
469591,0
305388,0
299721,0
192483,0
487714,0
353887,0
463409,0
457151,0
419017,1
168081,0
330731,0
226340,0
472334,0
465493,0
195277,0
247008,1
308399,0
432875,0
180960,0
401827,0
303377,0
274438,0
426866,0
477142,0
342776,0
149017,0
187277,1
358105,0
182458,0
490582,0
490761,1
202481,0
346268,0
167814,0
466355,0
371291,0
255130,0
327017,0
422389,0
179001,0
124006,0
302597,0
420716,0
276207,0
230968,0
313466,1
287138,0
210906,0
453380,0
190366,0
377154,0
147018,0
382285,0
240022,0
385197,0
325413,1
349709,0
306750,0
475611,0
348542,0
251090,0
291541,0
252041,0
433008,0
383956,0
369380,0
367077,0
369153,0
265310,1
161688,0
343723,0
474460,0
257384,0
484405,0
316183,0
237326,0
153412,0
304960,0
495328,0
305738,0
309167,0
463573,0
285082,1
327899,0
158135,0
194595,0
330802,1
469425,0
310991,0
366573,0
156242,0
310127,0
169905,0
366084,0
398815,0
171090,0
172368,0
452443,0
150872,0
245377,1
485061,0
400287,0
296764,1
235305,0
154102,0
235403,0
177128,0
218363,0
294432,0
288302,0
367064,0
147934,1
401080,0
184476,0
430965,0
444138,0
471365,0
488380,0
162956,0
377931,0
429735,0
227866,0
327585,0
172452,1
193722,0
388800,0
336711,0
410056,0
143385,0
335825,0
376839,0
280506,0
335411,0
325879,1
372026,0
259846,0
335666,0
403743,0
246272,0
322376,0
219134,1
233264,0
191818,0
261038,0
304263,0
421600,0
233029,1
140206,0
389707,0
291818,0
134804,1
233464,0
479639,0
251112,1
171843,0
188148,0
206939,0
454589,0
411460,0
478086,0
497619,0
141499,0
273850,1
455194,0
468684,0
196136,0
295260,0
420245,0
233402,0
329806,0
444729,0
498764,0
379656,0
410630,0
141891,0
456950,0
154855,0
295307,0
207721,0
316907,1
431439,0
242870,0
410854,0
192989,0
204432,1
357403,0
493902,0
189625,0
188431,0
425540,0
434599,0
203929,0
450141,0
416764,0
485031,0
275658,1
254978,0
272344,0
282161,0
335747,0
253617,0
326398,0
231343,0
418334,0
220855,0
245103,1
481912,0
153005,0
459305,0
362007,0
220524,0
292351,0
147228,0
191243,0
212986,0
431226,0
214492,0
275159,1
221182,0
469044,0
188890,1
262385,0
448382,0
440021,0
393656,0
465899,0
239116,1
410224,0
252322,0
375977,0
347799,0
366903,0
451485,1
263501,0
381167,0
289470,0
168667,0
263941,0
478346,0
472425,0
256476,0
260992,0
490127,1
386187,0
147011,0
238940,0
182286,1
202538,0
154358,0
218793,0
476085,0
244723,1
139749,0
178222,0
167370,0
225480,0
493185,1
425745,1
245565,0
177732,0
459301,0
289526,0
222675,0
460255,0
131067,0
299820,1
398369,0
181805,0
281555,0
262360,0
267870,0
306656,0
386859,0
380991,0
326920,0
461263,0
254504,0
218953,0
481248,0
354331,0
226209,0
409288,1
327206,0
129652,0
231587,0
401183,0
257102,0
258195,0
351361,0
167407,0
201519,0
222271,0
338487,0
324693,0
420371,0
404178,0
432283,1
269243,0
325657,0
417153,0
397872,0
364169,0
385460,0
134218,1
179307,0
386745,1
462325,0
186385,0
192007,0
398964,0
389808,0
154243,0
317919,0
379525,0
329597,0
222957,1
283597,0
259741,0
341585,0
444073,0
298022,0
342042,0
279576,0
345020,0
298039,0
142226,0
168908,1
174894,0
426028,0
228834,0
139291,0
247423,0
261886,0
257554,0
149392,0
356428,0
251434,0
206029,0
331286,0
342550,0
309522,0
316163,0
123669,0
282927,0
398779,0
138273,0
249386,0
235206,0
341654,0
365205,0
466998,0
204461,0
173333,0
439921,0
428800,0
300234,0
347800,0
299015,0
431555,1
341224,0
457740,0
207150,1
336547,0
238315,1
266358,0
419767,1
184420,0
215505,0
143585,0
238768,0
425772,0
329198,0
410746,0
298080,0
477009,0
485250,0
160229,0
221424,0
466323,0
301524,1
304713,0
390790,0
195745,0
353244,0
469507,0
388864,0
141623,0
155173,0
316670,0
271848,0
277305,0
232372,0
394813,0
211629,0
485852,0
431064,0
242898,0
327388,0
286914,0
471074,0
202634,0
459935,0
275572,1
300145,0
462165,0
480598,0
250510,0
175494,0
496952,0
266204,0
287948,0
152897,0
174042,0
409939,0
124698,0
469251,0
369612,0
211692,0
203666,1
224507,0
455021,0
327333,0
144424,0
289328,0
411055,0
271959,0
497593,0
410777,0
283682,0
159637,1
224601,0
139016,0
294358,0
249543,0
277811,1
287567,0
148118,0
275623,0
422219,0
371404,0
279216,0
160589,0
173227,1
453627,0
410577,0
306231,0
488647,0
446831,0
234484,0
379077,0
451349,0
351085,0
401284,1
257111,0
164647,0
274357,0
129722,0
376302,0
305386,0
227820,0
197642,0
342365,0
179731,0
230359,0
375669,0
328513,0
346500,0
260438,0
325012,0
486214,1
191748,1
335687,0
190186,0
211510,0
239535,0
257358,0
232794,0
178876,0
371925,0
205141,1
244265,1
177173,0
208776,1
158831,0
427664,0
443001,0
406530,0
225695,0
141865,1
149100,0
156191,0
169450,0
492550,0
435890,0
166527,0
394347,0
332419,1
181952,0
283174,0
224024,0
155606,0
342918,0
392723,0
328925,0
206899,1
150549,0
154630,0
498515,1
203755,0
215026,0
478376,0
473089,0
473467,0
405827,0
378710,0
303837,1
412188,0
426961,0
400436,0
184583,0
236585,0
378193,1
203045,1
461319,0
315457,0
313842,1
402890,0
147730,1
221378,0
202707,0
301755,0
455436,0
271423,0
326318,0
470638,0
351515,0
408201,0
331340,0
401443,0
463911,0
181336,0
341719,0
353119,0
419655,0
302245,1
358412,0
203631,0
213937,0
194774,0
498848,0
447491,0
325777,0
188628,0
370770,0
486401,1
422622,0
271728,0
471972,0
160180,0
315234,0
301526,0
299362,0
441906,0
178400,0
418838,0
193002,1
454380,0
272548,0
230348,0
179114,0
144117,0
385206,0
383796,0
215373,0
395048,0
337142,0
385015,1
230935,0
297206,1
330282,0
393285,0
441541,0
295565,0
165431,0
449907,0
451502,0
496134,0
413100,0
223024,0
418886,0
424438,1
411323,0
361512,0
174433,1
426011,0
191253,0
423553,0
169978,0
445388,0
315472,0
296442,0
408297,0
317011,0
348283,0
173908,0
438982,1
494601,1
256312,1
318781,0
286682,0
254074,0
149995,0
224905,0
313816,0
314482,0
293115,1
184280,1
498092,0
463859,0
156016,0
129261,0
267928,0
295132,0
126048,0
365656,0
383142,0
324975,0
279336,0
290406,0
270027,0
153668,0
254682,0
401942,0
314819,1
208261,0
290606,0
176752,0
391679,0
399137,0
149798,0
411333,0
148404,0
264097,0
246802,0
403453,0
154146,0
220267,1
356445,0
405564,0
472793,0
364258,0
186101,0
347506,0
354850,1
322737,0
192469,0
176205,0
458127,0
374534,0
176341,0
259469,0
328665,0
394833,0
318552,0
285106,0
460896,0
152487,0
492646,0
351644,1
185822,0
155657,0
145900,0
226860,0
308552,1
260295,0
471842,0
133166,0
287576,1
227815,0
367000,0
386639,0
338662,1
459071,1
327671,0
282563,0
404647,0
196630,1
256303,0
495203,0
478513,0
426002,0
456844,0
409996,0
356481,0
275728,0
330474,0
475923,0
369898,0
237906,0
280456,1
392988,0
139872,0
191061,0
331687,1
157351,0
368744,0
359925,1
328476,0
451897,0
148918,0
129294,0
479685,0
221460,0
452141,0
170755,0
310122,1
262201,0
258701,0
243393,1
394516,0
317870,0
141788,0
342350,0
172089,0
263930,0
339057,1
209977,0
377967,0
125360,0
205457,1
440855,0
301197,0
273967,1
271914,0
422756,0
209861,0
419901,0
223568,0
257463,0
392283,0
314109,0
226528,0
427182,0
392668,0
430071,0
385084,1
360398,0
283184,0
171650,0
459645,1
477942,1
247635,0
298488,0
272841,0
478331,0
215149,0
203731,0
346035,0
319485,0
310132,1
439270,1
161190,0
430488,0
306874,1
400045,0
452920,1
454365,0
209455,1
461110,1
352728,0
282872,0
274009,0
410684,0
166058,0
473406,0
204803,0
195104,0
488679,0
429051,1
289425,0
407418,0
394027,0
370614,0
209562,0
328641,0
457866,0
398279,0
229438,0
279481,0
282587,0
351695,1
141204,0
241668,1
366045,0
282514,0
482566,1
424066,1
493034,0
323371,1
346253,0
238795,0
491084,0
157495,0
188323,0
386466,0
403427,0
393663,0
337647,0
144239,0
167582,0
191450,1
351265,0
254097,0
324953,0
414142,1
257828,0
232528,0
452631,0
432885,0
224681,0
179956,0
273678,1
218040,0
430558,0
124595,0
274435,0
137882,0
336166,0
271391,0
210201,0
354085,0
265348,0
490837,0
438892,0
333174,0
222778,0
374533,0
134335,0
485995,0
471551,0
199274,0
